date,price,metal
1968-04-01,37.86,Gold
1968-05-01,40.7,Gold
1968-06-01,41.14,Gold
1968-07-01,39.47,Gold
1968-08-01,39.19,Gold
1968-09-01,40.18,Gold
1968-10-01,39.21,Gold
1968-11-01,39.78,Gold
1968-12-01,41.08,Gold
1969-01-01,42.3,Gold
1969-02-01,42.6,Gold
1969-03-01,43.16,Gold
1969-04-01,43.31,Gold
1969-05-01,43.46,Gold
1969-06-01,41.44,Gold
1969-07-01,41.76,Gold
1969-08-01,41.09,Gold
1969-09-01,40.87,Gold
1969-10-01,40.44,Gold
1969-11-01,37.4,Gold
1969-12-01,35.17,Gold
1970-01-01,34.94,Gold
1970-02-01,34.99,Gold
1970-03-01,35.09,Gold
1970-04-01,35.62,Gold
1970-05-01,35.95,Gold
1970-06-01,35.42,Gold
1970-07-01,35.32,Gold
1970-08-01,35.38,Gold
1970-09-01,36.19,Gold
1970-10-01,37.52,Gold
1970-11-01,37.44,Gold
1970-12-01,37.43,Gold
1971-01-01,37.87,Gold
1971-02-01,38.74,Gold
1971-03-01,38.87,Gold
1971-04-01,39.01,Gold
1971-05-01,40.52,Gold
1971-06-01,40.1,Gold
1971-07-01,40.95,Gold
1971-08-01,42.73,Gold
1971-09-01,42.02,Gold
1971-10-01,42.5,Gold
1971-11-01,42.86,Gold
1971-12-01,43.48,Gold
1972-01-01,45.75,Gold
1972-02-01,48.26,Gold
1972-03-01,48.33,Gold
1972-04-01,49.03,Gold
1972-05-01,54.62,Gold
1972-06-01,62.09,Gold
1972-07-01,65.67,Gold
1972-08-01,67.03,Gold
1972-09-01,65.47,Gold
1972-10-01,64.86,Gold
1972-11-01,62.91,Gold
1972-12-01,63.91,Gold
1973-01-01,65.14,Gold
1973-02-01,74.2,Gold
1973-03-01,84.37,Gold
1973-04-01,90.5,Gold
1973-05-01,101.96,Gold
1973-06-01,120.12,Gold
1973-07-01,120.17,Gold
1973-08-01,106.76,Gold
1973-09-01,102.97,Gold
1973-10-01,100.08,Gold
1973-11-01,94.92,Gold
1973-12-01,106.72,Gold
1974-01-01,129.19,Gold
1974-02-01,150.23,Gold
1974-03-01,168.42,Gold
1974-04-01,172.24,Gold
1974-05-01,163.27,Gold
1974-06-01,154.1,Gold
1974-07-01,142.98,Gold
1974-08-01,154.64,Gold
1974-09-01,151.91,Gold
1974-10-01,158.78,Gold
1974-11-01,181.65,Gold
1974-12-01,183.85,Gold
1975-01-01,176.27,Gold
1975-02-01,179.59,Gold
1975-03-01,178.16,Gold
1975-04-01,169.84,Gold
1975-05-01,167.39,Gold
1975-06-01,164.24,Gold
1975-07-01,165.17,Gold
1975-08-01,163.0,Gold
1975-09-01,144.09,Gold
1975-10-01,142.76,Gold
1975-11-01,142.42,Gold
1975-12-01,139.3,Gold
1976-01-01,131.49,Gold
1976-02-01,131.07,Gold
1976-03-01,132.58,Gold
1976-04-01,127.94,Gold
1976-05-01,126.93,Gold
1976-06-01,125.71,Gold
1976-07-01,117.75,Gold
1976-08-01,109.93,Gold
1976-09-01,114.15,Gold
1976-10-01,116.14,Gold
1976-11-01,130.46,Gold
1976-12-01,133.88,Gold
1977-01-01,132.26,Gold
1977-02-01,136.3,Gold
1977-03-01,148.23,Gold
1977-04-01,149.17,Gold
1977-05-01,146.6,Gold
1977-06-01,140.78,Gold
1977-07-01,143.39,Gold
1977-08-01,144.95,Gold
1977-09-01,149.52,Gold
1977-10-01,158.86,Gold
1977-11-01,162.1,Gold
1977-12-01,160.45,Gold
1978-01-01,173.18,Gold
1978-02-01,178.16,Gold
1978-03-01,183.66,Gold
1978-04-01,175.28,Gold
1978-05-01,176.31,Gold
1978-06-01,183.75,Gold
1978-07-01,188.73,Gold
1978-08-01,206.3,Gold
1978-09-01,212.08,Gold
1978-10-01,227.39,Gold
1978-11-01,206.07,Gold
1978-12-01,207.83,Gold
1979-01-01,227.27,Gold
1979-02-01,245.67,Gold
1979-03-01,242.05,Gold
1979-04-01,239.16,Gold
1979-05-01,257.62,Gold
1979-06-01,279.07,Gold
1979-07-01,294.74,Gold
1979-08-01,300.82,Gold
1979-09-01,355.12,Gold
1979-10-01,391.66,Gold
1979-11-01,391.99,Gold
1979-12-01,455.08,Gold
1980-01-01,675.31,Gold
1980-02-01,665.32,Gold
1980-03-01,553.58,Gold
1980-04-01,517.41,Gold
